value,   feasible,   frequency, time, iteration
220,False,1,677.6570158004761,0
388,False,1,677.6570158004761,0
0,False,1,677.6570158004761,0
2044,False,1,677.6570158004761,0
2288,False,1,677.6570158004761,0
3384,False,1,677.6570158004761,0
2172,False,1,677.6570158004761,0
3136,False,1,677.6570158004761,0
1236,False,1,677.6570158004761,0
770,False,1,677.6570158004761,0
1638,False,1,677.6570158004761,0
2558,False,1,677.6570158004761,0
878,False,1,677.6570158004761,0
1306,False,1,677.6570158004761,0
1814,False,1,677.6570158004761,0
870,False,1,677.6570158004761,0
1198,False,1,677.6570158004761,0
1430,False,1,677.6570158004761,0
330,False,1,677.6570158004761,0
2816,False,1,677.6570158004761,0
1826,False,1,677.6570158004761,0
1072,False,1,677.6570158004761,0
2772,False,1,677.6570158004761,0
5866,False,1,677.6570158004761,0
440,False,1,677.6570158004761,0
1618,False,1,677.6570158004761,0
1352,False,1,677.6570158004761,0
1652,False,1,677.6570158004761,0
1776,False,1,677.6570158004761,0
372,False,1,677.6570158004761,0
2084,False,1,677.6570158004761,0
2272,False,1,677.6570158004761,0
1416,False,1,677.6570158004761,0
1652,False,1,677.6570158004761,0
372,False,1,677.6570158004761,0
1064,False,1,677.6570158004761,0
2124,False,1,677.6570158004761,0
3450,False,1,677.6570158004761,0
0,False,1,677.6570158004761,0
2116,False,1,677.6570158004761,0
2520,False,1,677.6570158004761,0
1426,False,1,677.6570158004761,0
936,False,1,677.6570158004761,0
1112,False,1,677.6570158004761,0
1828,False,1,677.6570158004761,0
1360,False,1,677.6570158004761,0
4518,False,1,677.6570158004761,0
2438,False,1,677.6570158004761,0
706,False,1,677.6570158004761,0
998,False,1,677.6570158004761,0
1288,False,1,677.6570158004761,0
1388,False,1,677.6570158004761,0
424,False,1,677.6570158004761,0
1054,False,1,677.6570158004761,0
3262,False,1,677.6570158004761,0
1716,False,1,677.6570158004761,0
1514,False,1,677.6570158004761,0
2596,False,1,677.6570158004761,0
4010,False,1,677.6570158004761,0
1920,False,1,677.6570158004761,0
1116,False,1,677.6570158004761,0
648,False,1,677.6570158004761,0
648,False,1,677.6570158004761,0
648,False,1,677.6570158004761,0
1972,False,1,677.6570158004761,0
1360,False,1,677.6570158004761,0
1546,False,1,677.6570158004761,0
1856,False,1,677.6570158004761,0
5250,False,1,677.6570158004761,0
1052,False,1,677.6570158004761,0
1476,False,1,677.6570158004761,0
2214,False,1,677.6570158004761,0
1716,False,1,677.6570158004761,0
1416,False,1,677.6570158004761,0
2416,False,1,677.6570158004761,0
4572,False,1,677.6570158004761,0
1020,False,1,677.6570158004761,0
2582,False,1,677.6570158004761,0
2296,False,1,677.6570158004761,0
1888,False,1,677.6570158004761,0
2352,False,1,677.6570158004761,0
2088,False,1,677.6570158004761,0
2904,False,1,677.6570158004761,0
6376,False,1,677.6570158004761,0
2224,False,1,677.6570158004761,0
2336,False,1,677.6570158004761,0
160,False,1,677.6570158004761,0
660,False,1,677.6570158004761,0
708,False,1,677.6570158004761,0
2132,False,1,677.6570158004761,0
2184,False,1,677.6570158004761,0
0,False,1,677.6570158004761,0
480,False,1,677.6570158004761,0
760,False,1,677.6570158004761,0
856,False,1,677.6570158004761,0
972,False,1,677.6570158004761,0
0,False,1,677.6570158004761,0
0,False,1,677.6570158004761,0
1508,False,1,677.6570158004761,0
1716,False,1,677.6570158004761,0
656,False,1,677.6570158004761,0
1580,False,1,677.6570158004761,0
1236,False,1,677.6570158004761,0
1046,False,2,677.6570158004761,0
2118,False,1,677.6570158004761,0
1486,False,1,677.6570158004761,0
2404,False,1,677.6570158004761,0
1072,False,1,677.6570158004761,0
2936,False,1,677.6570158004761,0
1304,False,1,677.6570158004761,0
1470,False,1,677.6570158004761,0
1184,False,1,677.6570158004761,0
0,False,1,677.6570158004761,0
440,False,1,677.6570158004761,0
440,False,1,677.6570158004761,0
0,False,1,677.6570158004761,0
240,False,1,677.6570158004761,0
494,False,1,677.6570158004761,0
318,False,1,677.6570158004761,0
0,False,1,677.6570158004761,0
1930,False,1,677.6570158004761,0
0,False,1,677.6570158004761,0
1480,False,1,677.6570158004761,0
804,False,1,677.6570158004761,0
754,False,1,677.6570158004761,0
1448,False,1,677.6570158004761,0
1510,False,1,677.6570158004761,0
896,False,1,677.6570158004761,0
1156,False,1,677.6570158004761,0
2016,False,1,677.6570158004761,0
330,False,2,677.6570158004761,0
1178,False,1,677.6570158004761,0
2372,False,1,677.6570158004761,0
2906,False,1,677.6570158004761,0
5126,False,1,677.6570158004761,0
2974,False,1,677.6570158004761,0
2660,False,1,677.6570158004761,0
2648,False,1,677.6570158004761,0
3904,False,1,677.6570158004761,0
4762,False,1,677.6570158004761,0
606,False,1,677.6570158004761,0
2184,False,2,677.6570158004761,0
1736,False,1,677.6570158004761,0
1096,False,1,677.6570158004761,0
640,False,1,677.6570158004761,0
1064,False,1,677.6570158004761,0
1008,False,1,677.6570158004761,0
1096,False,1,677.6570158004761,0
1928,False,1,677.6570158004761,0
4488,False,1,677.6570158004761,0
1694,False,1,677.6570158004761,0
1356,False,1,677.6570158004761,0
1174,False,1,677.6570158004761,0
2744,False,1,677.6570158004761,0
2150,False,1,677.6570158004761,0
1618,False,1,677.6570158004761,0
1392,False,1,677.6570158004761,0
1684,False,1,677.6570158004761,0
3322,False,1,677.6570158004761,0
1526,False,1,677.6570158004761,0
2312,False,1,677.6570158004761,0
1780,False,1,677.6570158004761,0
2768,False,1,677.6570158004761,0
3208,False,1,677.6570158004761,0
320,False,1,677.6570158004761,0
1056,False,1,677.6570158004761,0
922,False,1,677.6570158004761,0
1214,False,1,677.6570158004761,0
2000,False,1,677.6570158004761,0
2030,False,1,677.6570158004761,0
1118,False,1,677.6570158004761,0
2294,False,1,677.6570158004761,0
1026,False,1,677.6570158004761,0
2878,False,1,677.6570158004761,0
976,False,1,677.6570158004761,0
570,False,1,677.6570158004761,0
1038,False,1,677.6570158004761,0
570,False,1,677.6570158004761,0
3696,False,1,677.6570158004761,0
934,False,2,677.6570158004761,0
2470,False,1,677.6570158004761,0
1638,False,1,677.6570158004761,0
5582,False,1,677.6570158004761,0
1038,False,1,677.6570158004761,0
2530,False,1,677.6570158004761,0
3640,False,1,677.6570158004761,0
1110,False,1,677.6570158004761,0
1214,False,1,677.6570158004761,0
1754,False,1,677.6570158004761,0
1606,False,1,677.6570158004761,0
4386,False,1,677.6570158004761,0
962,False,1,677.6570158004761,0
1130,False,1,677.6570158004761,0
2818,False,1,677.6570158004761,0
1944,False,1,677.6570158004761,0
976,False,1,677.6570158004761,0
1798,False,1,677.6570158004761,0
1414,False,1,677.6570158004761,0
1390,False,1,677.6570158004761,0
1964,False,1,677.6570158004761,0
3366,False,1,677.6570158004761,0
1566,False,1,677.6570158004761,0
2102,False,1,677.6570158004761,0
1792,False,1,677.6570158004761,0
2356,False,1,677.6570158004761,0
1470,False,1,677.6570158004761,0
3470,False,1,677.6570158004761,0
648,False,1,677.6570158004761,0
1838,False,1,677.6570158004761,0
1472,False,1,677.6570158004761,0
2112,False,1,677.6570158004761,0
1142,False,1,677.6570158004761,0
1608,False,1,677.6570158004761,0
0,False,1,677.6570158004761,0
318,False,1,677.6570158004761,0
1194,False,1,677.6570158004761,0
1060,False,1,677.6570158004761,0
3460,False,1,677.6570158004761,0
2116,False,1,677.6570158004761,0
1236,False,1,677.6570158004761,0
530,False,1,677.6570158004761,0
1308,False,1,677.6570158004761,0
1274,False,1,677.6570158004761,0
1840,False,1,677.6570158004761,0
2134,False,1,677.6570158004761,0
2122,False,1,677.6570158004761,0
