(1285.0, 273.3793275356293, 4)
(1285.0, 262.56254053115845, 5)
(1285.0, 291.3207793235779, 29)
(1285.0, 281.47659063339233, 125)
(1285.0, 310.6557252407074, 2)

(1285.0, 366.22327494621277, 35)
(1285.0, 328.0750641822815, 187)
(1285.0, 3779.912068605423, 43)
(1285.0, 294.15957403182983, 62)
(1285.0, 343.6888825893402, 203)
(1285.0, 349.4896557331085, 154)
(1285.0, 301.5388181209564, 3)
(1285.0, 323.7092638015747, 6)
(1285.0, 300.08566188812256, 25)
(1285.0, 300.5481152534485, 55)
(1285.0, 323.0131895542145, 2)
(1285.0, 301.3984479904175, 251)
(1285.0, 426.5170500278473, 6)
(1285.0, 286.6599454879761, 4)
(1285.0, 273.4704248905182, 31)
(1285.0, 276.408677816391, 182)
(1285.0, 276.1923038959503, 9)
(1285.0, 281.4247374534607, 7)
(1285.0, 270.6808521747589, 4)
(1285.0, 279.86225843429565, 143)
(1285.0, 269.4330871105194, 5)
(1285.0, 275.4893081188202, 94)
(1285.0, 3706.421337366104, 164)
(1285.0, 289.91379141807556, 5)
(1285.0, 267.9608664512634, 5)
