value,   feasible,   frequency, time, iteration
804,False,1,199802.30981993675,0
1464,False,1,199802.30981993675,0
1876,False,1,199802.30981993675,0
1948,False,1,199802.30981993675,0
2540,False,1,199802.30981993675,0
256,False,1,199802.30981993675,0
2904,False,1,199802.30981993675,0
1836,False,1,199802.30981993675,0
2332,False,1,199802.30981993675,0
1300,False,1,199802.30981993675,0
2108,False,1,199802.30981993675,0
2268,False,1,199802.30981993675,0
2556,False,1,199802.30981993675,0
1216,False,1,199802.30981993675,0
2796,False,1,199802.30981993675,0
2524,False,1,199802.30981993675,0
3544,False,1,199802.30981993675,0
3744,False,1,199802.30981993675,0
1680,False,1,199802.30981993675,0
3104,False,1,199802.30981993675,0
1536,False,1,199802.30981993675,0
1748,False,1,199802.30981993675,0
564,False,1,199802.30981993675,0
2816,False,1,199802.30981993675,0
2688,False,1,199802.30981993675,0
3020,False,1,199802.30981993675,0
3632,False,1,199802.30981993675,0
2296,False,1,199802.30981993675,0
4304,False,1,199802.30981993675,0
4024,False,1,199802.30981993675,0
2696,False,1,199802.30981993675,0
5216,False,1,199802.30981993675,0
4644,False,1,199802.30981993675,0
3148,False,1,199802.30981993675,0
6124,False,1,199802.30981993675,0
2588,False,1,199802.30981993675,0
2144,False,1,199802.30981993675,0
3688,False,1,199802.30981993675,0
1580,False,1,199802.30981993675,0
2744,False,1,199802.30981993675,0
3616,False,1,199802.30981993675,0
2716,False,1,199802.30981993675,0
4224,False,1,199802.30981993675,0
4092,False,1,199802.30981993675,0
3084,False,1,199802.30981993675,0
5808,False,1,199802.30981993675,0
4760,False,1,199802.30981993675,0
5256,False,1,199802.30981993675,0
4136,False,1,199802.30981993675,0
3100,False,1,199802.30981993675,0
2404,False,1,199802.30981993675,0
4032,False,1,199802.30981993675,0
2888,False,1,199802.30981993675,0
2652,False,1,199802.30981993675,0
4880,False,1,199802.30981993675,0
5664,False,1,199802.30981993675,0
3256,False,1,199802.30981993675,0
3280,False,1,199802.30981993675,0
1228,False,1,199802.30981993675,0
4684,False,1,199802.30981993675,0
3672,False,1,199802.30981993675,0
1816,False,1,199802.30981993675,0
892,False,1,199802.30981993675,0
904,False,1,199802.30981993675,0
2768,False,1,199802.30981993675,0
2040,False,1,199802.30981993675,0
1640,False,1,199802.30981993675,0
4316,False,1,199802.30981993675,0
1216,False,1,199802.30981993675,0
4716,False,1,199802.30981993675,0
4992,False,1,199802.30981993675,0
5156,False,1,199802.30981993675,0
4724,False,1,199802.30981993675,0
5844,False,1,199802.30981993675,0
6608,False,1,199802.30981993675,0
252,False,1,199802.30981993675,0
4204,False,1,199802.30981993675,0
2264,False,1,199802.30981993675,0
