(1318.0, 350.2362425327301, 1)
(-1, 344.55204701423645, 'n')
(1318.0, 383.9746181964874, 1)
(1454.0, 363.83364939689636, 1)
(1488.0, 345.3462634086609, 1)
(-1, 342.2364912033081, 'n')
(-1, 347.7178440093994, 'n')
(1454.0, 362.02574276924133, 1)
(1454.0, 378.0715091228485, 1)
(-1, 364.56294083595276, 'n')
(1454.0, 350.16900515556335, 1)
(-1, 369.83955430984497, 'n')
(1454.0, 354.2309739589691, 1)
(-1, 362.9258453845978, 'n')
(1488.0, 346.7842457294464, 1)
(-1, 359.753710269928, 'n')
(1318.0, 355.45208382606506, 1)
(-1, 455.61698842048645, 'n')
(-1, 367.33723616600037, 'n')
(1488.0, 374.5775897502899, 1)
(-1, 356.40128231048584, 'n')
(-1, 361.5000259876251, 'n')
(-1, 346.43547320365906, 'n')
(-1, 356.0404770374298, 'n')
(-1, 359.465380191803, 'n')
(-1, 368.67831778526306, 'n')
(-1, 351.9985296726227, 'n')
(1318.0, 385.4815375804901, 1)
(1318.0, 414.1110644340515, 1)
(-1, 381.1316614151001, 'n')
