(1285.0, 14743.995943069458, 4)
(1285.0, 778.0128009319305, 4)
(1285.0, 1476.210966348648, 6)
(1285.0, 1062.9506940841675, 5)
(1285.0, 1848.5251424312592, 5)
(1285.0, 1057.1771247386932, 4)
(1285.0, 1766.8629803657532, 6)
(1285.0, 697.5424327850342, 6)
(1285.0, 3095.6952316761017, 6)
(1285.0, 183.55649709701538, 6)
(1285.0, 2495.7242710590363, 2)
(1285.0, 1126.6935303211212, 5)
(1285.0, 2245.8560144901276, 3)
(1285.0, 1163.7898046970367, 8)
(1285.0, 2219.0103516578674, 5)
(1285.0, 1162.2264578342438, 6)
(1285.0, 2430.0465321540833, 3)
(1285.0, 1726.363980293274, 6)
(1285.0, 881.9827687740326, 4)
(1285.0, 1419.3810441493988, 6)
(1285.0, 1440.7943255901337, 6)
(1285.0, 2088.1787786483765, 5)
(1285.0, 1572.101188659668, 4)
(1285.0, 1291.1425795555115, 5)
(1285.0, 1472.822053194046, 10)
(1285.0, 1390.1219696998596, 6)
(1285.0, 1279.854052066803, 7)
(1285.0, 1954.8234741687775, 5)
(1285.0, 1427.7113513946533, 7)
(1285.0, 1941.4663157463074, 5)
