(-1, 4756.784145593643, 'n')
(-1, 5562.934477567673, 'n')
(-1, 11141.65223479271, 'n')
(-1, 4383.300718545914, 'n')
(-1, 4383.941715717316, 'n')
(-1, 4550.805593252182, 'n')
(-1, 952.2072253227234, 'n')
(-1, 4341.860500335693, 'n')
(-1, 1077.48362159729, 'n')
(-1, 1113.0589962005615, 'n')
(-1, 1224.5278389453888, 'n')
(-1, 1224.4116470813751, 'n')
(-1, 1343.7932991981506, 'n')
(-1, 1329.6305611133575, 'n')
(-1, 792.2649323940277, 'n')
(-1, 688.9454481601715, 'n')
(-1, 844.5562295913696, 'n')
(-1, 614.8971149921417, 'n')
(-1, 484.61997413635254, 'n')
(-1, 351.3859088420868, 'n')
(-1, 355.4878511428833, 'n')
(1918.0, 477.3149366378784, 1)
(-1, 407.08317518234253, 'n')
(-1, 340.76790380477905, 'n')
(-1, 461.5090308189392, 'n')
(-1, 328.49744153022766, 'n')
(-1, 336.7747585773468, 'n')
(-1, 398.12247467041016, 'n')
(-1, 441.55195569992065, 'n')
(-1, 386.80926489830017, 'n')
