value,   feasible,   frequency, time, iteration
0,False,3,242.6382532119751,0
0,False,2,242.6382532119751,0
0,False,1,242.6382532119751,0
7790,False,4,242.6382532119751,0
1722,False,1,242.6382532119751,0
9512,False,2,242.6382532119751,0
7790,False,1,242.6382532119751,0
1722,False,1,242.6382532119751,0
9512,False,3,242.6382532119751,0
10640,False,2,242.6382532119751,0
18430,False,5,242.6382532119751,0
13346,True,3,242.6382532119751,0
21136,False,1,242.6382532119751,0
11780,False,2,242.6382532119751,0
19570,False,1,242.6382532119751,0
22276,False,2,242.6382532119751,0
984,False,2,242.6382532119751,0
11126,True,2,242.6382532119751,0
4074,False,2,242.6382532119751,0
2604,False,2,242.6382532119751,0
11378,False,1,242.6382532119751,0
13100,False,3,242.6382532119751,0
12992,False,2,242.6382532119751,0
15698,False,2,242.6382532119751,0
24472,False,2,242.6382532119751,0
0,False,4,242.6382532119751,0
0,False,2,242.6382532119751,0
8930,False,2,242.6382532119751,0
1974,False,6,242.6382532119751,0
10904,False,5,242.6382532119751,0
0,False,1,242.6382532119751,0
8930,False,6,242.6382532119751,0
1974,False,2,242.6382532119751,0
10904,False,6,242.6382532119751,0
10640,False,5,242.6382532119751,0
19570,False,2,242.6382532119751,0
13598,False,1,242.6382532119751,0
22528,False,4,242.6382532119751,0
11780,False,5,242.6382532119751,0
20710,False,5,242.6382532119751,0
14738,False,2,242.6382532119751,0
23668,False,2,242.6382532119751,0
984,False,2,242.6382532119751,0
2352,False,2,242.6382532119751,0
12266,False,1,242.6382532119751,0
4326,False,2,242.6382532119751,0
2604,False,1,242.6382532119751,0
12518,False,2,242.6382532119751,0
14492,False,2,242.6382532119751,0
12992,False,2,242.6382532119751,0
22906,False,3,242.6382532119751,0
15950,False,2,242.6382532119751,0
14384,False,1,242.6382532119751,0
17342,False,3,242.6382532119751,0
27256,False,1,242.6382532119751,0
252,False,1,242.6382532119751,0
0,False,2,242.6382532119751,0
7790,False,2,242.6382532119751,0
16236,False,1,242.6382532119751,0
7790,False,6,242.6382532119751,0
15580,False,3,242.6382532119751,0
16236,False,2,242.6382532119751,0
24026,False,2,242.6382532119751,0
18430,False,6,242.6382532119751,0
20070,False,1,242.6382532119751,0
27860,False,3,242.6382532119751,0
19570,False,3,242.6382532119751,0
27360,False,1,242.6382532119751,0
29000,False,3,242.6382532119751,0
1236,False,2,242.6382532119751,0
11536,False,2,242.6382532119751,0
20310,False,1,242.6382532119751,0
19982,False,1,242.6382532119751,0
28756,False,1,242.6382532119751,0
19578,False,3,242.6382532119751,0
28352,False,1,242.6382532119751,0
28024,False,1,242.6382532119751,0
36798,False,2,242.6382532119751,0
30950,False,1,242.6382532119751,0
31606,False,1,242.6382532119751,0
40380,False,2,242.6382532119751,0
31358,False,1,242.6382532119751,0
49562,False,1,242.6382532119751,0
252,False,3,242.6382532119751,0
10640,False,3,242.6382532119751,0
19570,False,1,242.6382532119751,0
19338,False,2,242.6382532119751,0
28268,False,4,242.6382532119751,0
18430,False,4,242.6382532119751,0
27360,False,3,242.6382532119751,0
27128,False,2,242.6382532119751,0
36058,False,4,242.6382532119751,0
21280,False,3,242.6382532119751,0
30210,False,4,242.6382532119751,0
30962,False,2,242.6382532119751,0
39892,False,1,242.6382532119751,0
30210,False,3,242.6382532119751,0
39140,False,3,242.6382532119751,0
39892,False,3,242.6382532119751,0
48822,False,4,242.6382532119751,0
1236,False,2,242.6382532119751,0
22176,False,3,242.6382532119751,0
32090,False,1,242.6382532119751,0
40788,False,2,242.6382532119751,0
30218,False,1,242.6382532119751,0
40132,False,1,242.6382532119751,0
48830,False,2,242.6382532119751,0
32816,False,3,242.6382532119751,0
42730,False,2,242.6382532119751,0
42498,False,1,242.6382532119751,0
52412,False,2,242.6382532119751,0
41998,False,2,242.6382532119751,0
51912,False,1,242.6382532119751,0
51680,False,2,242.6382532119751,0
61594,False,2,242.6382532119751,0
0,False,3,242.6382532119751,0
0,False,1,242.6382532119751,0
14514,False,2,242.6382532119751,0
16236,False,3,242.6382532119751,0
1722,False,2,242.6382532119751,0
16236,False,1,242.6382532119751,0
3444,False,1,242.6382532119751,0
19824,False,3,242.6382532119751,0
34338,False,1,242.6382532119751,0
22530,False,1,242.6382532119751,0
37044,False,4,242.6382532119751,0
22686,False,4,242.6382532119751,0
37200,False,1,242.6382532119751,0
25392,False,1,242.6382532119751,0
39906,False,1,242.6382532119751,0
984,False,1,242.6382532119751,0
2352,False,2,242.6382532119751,0
19572,False,2,242.6382532119751,0
19824,False,1,242.6382532119751,0
6048,False,1,242.6382532119751,0
21546,False,3,242.6382532119751,0
24882,False,1,242.6382532119751,0
40380,False,3,242.6382532119751,0
25290,False,1,242.6382532119751,0
40788,False,2,242.6382532119751,0
27996,False,1,242.6382532119751,0
43494,False,2,242.6382532119751,0
984,False,2,242.6382532119751,0
2352,False,4,242.6382532119751,0
18006,False,1,242.6382532119751,0
4326,False,3,242.6382532119751,0
19980,False,2,242.6382532119751,0
4074,False,1,242.6382532119751,0
19728,False,4,242.6382532119751,0
6048,False,3,242.6382532119751,0
21702,False,2,242.6382532119751,0
37830,False,3,242.6382532119751,0
25134,False,3,242.6382532119751,0
40788,False,3,242.6382532119751,0
25038,False,7,242.6382532119751,0
40692,False,3,242.6382532119751,0
27996,False,3,242.6382532119751,0
43650,False,2,242.6382532119751,0
1968,False,1,242.6382532119751,0
4704,False,2,242.6382532119751,0
21342,False,3,242.6382532119751,0
23316,False,1,242.6382532119751,0
23316,False,4,242.6382532119751,0
25290,False,2,242.6382532119751,0
24528,False,1,242.6382532119751,0
41166,False,3,242.6382532119751,0
27486,False,1,242.6382532119751,0
44124,False,4,242.6382532119751,0
27642,False,4,242.6382532119751,0
44280,False,6,242.6382532119751,0
47238,False,1,242.6382532119751,0
1392,False,1,242.6382532119751,0
0,False,2,242.6382532119751,0
14514,False,4,242.6382532119751,0
8446,False,2,242.6382532119751,0
22960,False,3,242.6382532119751,0
9512,False,1,242.6382532119751,0
24026,False,1,242.6382532119751,0
17958,False,1,242.6382532119751,0
19824,False,1,242.6382532119751,0
34338,False,1,242.6382532119751,0
44990,False,1,242.6382532119751,0
39906,False,1,242.6382532119751,0
54420,False,1,242.6382532119751,0
2376,False,2,242.6382532119751,0
11536,False,3,242.6382532119751,0
27034,False,2,242.6382532119751,0
19982,False,1,242.6382532119751,0
35480,False,2,242.6382532119751,0
21300,False,1,242.6382532119751,0
36798,False,3,242.6382532119751,0
45244,False,3,242.6382532119751,0
31360,False,1,242.6382532119751,0
46858,False,1,242.6382532119751,0
40790,False,1,242.6382532119751,0
56288,False,2,242.6382532119751,0
57762,False,2,242.6382532119751,0
67192,False,2,242.6382532119751,0
12992,False,1,242.6382532119751,0
28646,False,2,242.6382532119751,0
21690,False,4,242.6382532119751,0
37344,False,2,242.6382532119751,0
22504,False,1,242.6382532119751,0
38158,False,4,242.6382532119751,0
31202,False,3,242.6382532119751,0
32816,False,1,242.6382532119751,0
48470,False,3,242.6382532119751,0
42498,False,1,242.6382532119751,0
58152,False,2,242.6382532119751,0
43468,False,3,242.6382532119751,0
59122,False,2,242.6382532119751,0
24528,False,1,242.6382532119751,0
41166,False,1,242.6382532119751,0
33226,False,1,242.6382532119751,0
49864,False,3,242.6382532119751,0
34292,False,1,242.6382532119751,0
50930,False,1,242.6382532119751,0
